stair.thisTrialN,stair.stepSize,stair.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,11.007383000000118,11.495483458999843,11.495483458999843,11.509904167000059,11.793255000000045,right,10.0,1,1,0.36073650000025737,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
1,2,8.0,11.916443374999744,12.383169834,12.383169834,12.410018833999857,,right,8.0,1,1,0.26030262399990534,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
2,2,6.0,12.662936374999845,13.142684250000002,13.142684250000002,13.160012208999888,13.431992291999904,right,6.0,1,1,0.44507654100016225,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
3,1,4.0,13.603781166999852,14.093309124999905,14.093309124999905,14.099591374999818,14.382530041999871,left,-4.0,0,0,0.32413766600029703,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
4,1,5.0,14.437428374999854,14.926086083999962,14.926086083999962,14.932238834000145,15.21532524999975,right,5.0,1,1,0.399673206999978,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
5,1,5.0,15.336674499999845,15.82616062499983,15.82616062499983,15.832259124999837,16.115748583999903,left,-5.0,1,1,0.3454807910002273,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
6,1,5.0,16.1871914999997,16.676202374999775,16.676202374999775,16.682298416999856,16.965549624999767,left,-5.0,1,1,0.3046250830002464,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
7,1,4.0,16.99292483399995,17.48276537499987,17.48276537499987,17.48276537499987,17.776944416999868,left,-4.0,1,1,0.3165463740001542,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
8,1,4.0,17.81047070900013,18.29933954199987,18.29933954199987,18.29933954199987,18.5937080839999,right,4.0,1,1,0.4333387080000648,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
9,1,4.0,18.753463375000138,19.243232333999913,19.243232333999913,19.249221874999876,,left,-4.0,1,1,0.2668159579998246,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
10,1,3.0,19.520460208999793,20.009657958999924,20.009657958999924,20.01554162499997,20.29904762499973,left,-3.0,1,1,0.493511290999777,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
11,0.5,3.0,20.521170958999846,21.01007158399989,21.01007158399989,21.016213709000112,21.298951333999867,left,-3.0,0,0,0.3038849569998092,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
12,0.5,3.5,21.326870375,21.80981366700007,21.80981366700007,21.815750541999932,22.098700000000008,left,-3.5,1,1,0.4926686660000996,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
13,0.5,3.5,22.321348749999743,22.809852916999716,22.809852916999716,22.81591966699989,23.099149124999713,left,-3.5,1,1,0.49792966599989086,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
14,0.5,3.5,23.3207090840001,23.81027691700001,23.81027691700001,23.8168717919998,24.0994854999999,right,3.5,1,1,0.40364733200021874,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
15,0.5,3.0,24.226406249999854,24.716641084000003,24.716641084000003,24.716641084000003,25.010575208999853,left,-3.0,0,0,0.33409279099987543,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
16,0.5,3.5,25.070768167000097,25.55084725000006,25.55084725000006,25.56548370900009,25.849724541999876,left,-3.5,1,1,0.5087201240003196,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
17,0.5,3.5,26.070520750000014,26.559983084000123,26.559983084000123,26.56603383399988,26.84969091699986,right,3.5,1,1,0.3854703739998513,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
18,0.5,3.5,26.959932792000018,27.44342479199986,27.44342479199986,27.449438958999963,27.73281300000008,right,3.5,1,1,0.4588412910002262,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
19,0.5,3.0,27.921284874999856,28.41009612500011,28.41009612500011,28.41634033399987,28.69951616699973,right,3.0,1,1,0.3917991240000447,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
20,0.5,3.0,28.82152333399972,29.31048812500012,29.31048812500012,29.316519125000013,29.599725125000077,left,-3.0,0,0,0.2915508320002118,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
21,0.5,3.5,29.621598041999732,30.110174625000127,30.110174625000127,30.11618816700002,30.399723833999815,right,3.5,1,1,0.466850624000017,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
22,0.5,3.5,30.588881124999716,31.076884749999863,31.076884749999863,31.08308587500005,31.36650433399973,left,-3.5,1,1,0.3012086660000932,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
23,0.5,3.5,31.393303249999917,31.883296833999793,31.883296833999793,31.883296833999793,32.177718667000136,left,-3.5,1,1,0.37369124900033057,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
24,0.5,3.0,32.27173204199971,32.76033049999978,32.76033049999978,32.76640645899988,33.04946691699979,left,-3.0,1,1,0.3569157490001089,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
25,0.5,3.0,33.127968709000015,33.61725420899984,33.61725420899984,33.61725420899984,33.91094062499997,right,3.0,1,1,0.39515387499977805,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
26,0.5,3.0,34.027244208999946,34.51034374999972,34.51034374999972,34.516249834000064,34.79998016699983,right,3.0,1,1,0.37605891599969254,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
27,0.5,2.5,34.90579279199983,35.39399812500005,35.39399812500005,35.40004929199995,35.68345070899977,left,-2.5,1,1,0.2888750820002315,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
28,0.5,2.5,35.69348020899997,36.177084999999806,36.177084999999806,36.18324920899977,36.466376500000024,right,2.5,1,1,0.4214274569999361,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
29,0.5,2.5,36.610177167000074,37.094071791999795,37.094071791999795,37.10013145899984,,left,-2.5,1,1,0.24496916599991891,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
30,0.5,2.0,37.35493458400015,37.8350915420001,37.8350915420001,37.8493920840001,38.12781341699974,right,2.0,1,1,0.44289020799988066,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
31,0.5,2.0,38.28823925000006,38.77755229200011,38.77755229200011,38.783645084,39.066403584,left,-2.0,1,1,0.2862134580000202,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
32,0.5,2.0,39.077424000000065,39.56088670899999,39.56088670899999,39.56685791700011,39.84963599999992,right,2.0,1,1,0.4075571250000394,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
33,0.5,1.5,39.988445708999734,40.477306249999856,40.477306249999856,40.48333212499983,40.76696162500002,left,-1.5,1,1,0.7364527499998985,3,001,2023-09-01_11h59.14.027,Adaptive_Staircase,2023.1.3,None,
